column, desc, unit\PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:AC2004:PIC7065A-PV, AC#4 Press Ctrl Input, kPag
PPO:AC2004:PIC7065A-SP, AC#4 Press Ctrl SP, kPag
PPO:PV2016:HV7128, AC#4 VENT VALVE 1,  
PPO:PV2016:PV7127, AC#4 PRESSURE CONTROL VALVE No.1, %
PPO:PV2017:HV7138, AC#4 VENT VALVE 2,  
PPO:PV2017:PV7137, AC#4 PRESSURE CONTROL VALVE No.2, %
PPO:AC2004-FI7065, AC#4 Vent Gas Flow, Am3/h
PPO:AC4:TK2240:LIT7501-LVL, TK2240 RADAR LIT 1, %
PPO:AC4:TK2240:LIT7507-LVL, TK2240 RADAR LIT 2, %
PPO:AC2004:LIC7280-MODE, AC#4 Lvl Ctrl Mode, %
PPO:AC2004:LIC7280-OP, AC#4 Lvl Ctrl Output, %
PPO:AC2004:LIC7280-PV, AC#4 Lvl Ctrl Input,  
PPO:AC2004:LIC7280-SP, AC#4 Lvl Ctrl SP, %
PPO:AC2004-LI7280A, AC#4 Lvl A - Radar_Pressure for lvl cal, kPa
PPO:AC2004-LI7280B, AC#4 Lvl B - Nucleonic, %
PPO:AC2004-LI7280B_CMP, AC#4 Compensated Level, %
PPO:PV2004:FIC7121-MODE, AC#4 Choke Wtr To PV2004 Ctrl Mode,  
PPO:PV2004:FIC7121-OP, AC#4 Choke Wtr To PV2004 Ctrl Output, %
PPO:PV2004:FIC7121-PV, AC#4 Choke Wtr To PV2004 Ctrl Input, m3/h
PPO:PV2004:FIC7121-SP, AC#4 Choke Wtr To PV2004 Ctrl SP, m3/h
PPO:PV2005:FIC7131-MODE, AC#4 Choke Wtr To PV2005 Ctrl Mode,  
PPO:PV2005:FIC7131-OP, AC#4 Choke Wtr To PV2005 Ctrl Output, %
PPO:PV2005:FIC7131-PV, AC#4 Choke Wtr To PV2005 Ctrl Input, m3/h
PPO:PV2005:FIC7131-SP, AC#4 Choke Wtr To PV2005 Ctrl SP, m3/h
PPO:PV2016:FIC7123-MODE, AC#4 Qnch Vsl1 Inlet Flow Ctrl Mode,  
PPO:PV2016:FIC7123-OP, AC#4 Qnch Vsl1 Inlet Flow Ctrl Output, %
PPO:PV2016:FIC7123-SP, AC#4 Qnch Vsl1 Inlet Flow Ctrl SP, m3/h
PPO:PV2016:TIC7122-MODE, AC#4 Qnch Vsl1 Temp Ctrl Mode,  
PPO:PV2016:TIC7122-OP, AC#4 Qnch Vsl1 Temp Ctrl Output, %
PPO:PV2016:TIC7122-PV, AC#4 Qnch Vsl1 Temp Ctrl Input, DegC
PPO:PV2016:TIC7122-SP, AC#4 Qnch Vsl1 Temp Ctrl SP, DegC
PPO:PV2017:FIC7133-MODE, AC#4 Qnch Vsl2 Inlet Flow Ctrl Mode,  
PPO:PV2017:FIC7133-OP, AC#4 Qnch Vsl2 Inlet Flow Ctrl Output, %
PPO:PV2017:FIC7133-SP, AC#4 Qnch Vsl2 Inlet Flow Ctrl SP, m3/h
PPO:PV2017:TIC7132-OP, AC#4 Qnch Vsl2 Temp Ctrl Output, %
PPO:PV2017:TIC7132-SP, AC#4 Qnch Vsl2 Temp Ctrl SP, DegC
PPPO:V2017:TIC7132-MODE, AC#4 Qnch Vsl2 Temp Ctrl Mode,  
PPPO:V2017:TIC7132-PV, AC#4 Qnch Vsl2 Temp Ctrl Input, DegC
PPO:PU2044-AMPS, AC#4 Qnch Wtr Boost Pmp1 Current, Amps
PPO:PU2045-AMPS, AC#4 Qnch Wtr Boost Pmp2 Current, Amps
PPO:PU2429-AMPS, AC#4 Qnch Wtr Boost Pmp3 Current, Amps
PPO:PU2430-AMPS, AC#4 Qnch Wtr Boost Pmp4 Current, Amps
PPO:PU2430-THM, AC#4 Qnch Wtr Boost Pmp4 Thermal Capacity, %
PPO:TK2012:PD_AC4_QNCHW, AC#4 Qnch Diff Press, kPag
PPO:AC4_1A:FIC7201-MODE, AC#4 CP1A O2 Qnch Wtr Ctrl Mode,  
PPO:AC4_1A:FIC7201-OP, AC#4 CP1A O2 Qnch Wtr Ctrl Output, %
PPO:AC4_1A:FIC7201-PV, AC#4 CP1A O2 Qnch Wtr Ctrl Input, m3/h
PPO:AC4_1A:FIC7201-SP, AC#4 CP1A O2 Qnch Wtr Ctrl SP, m3/h
PPO:AC4_1A:WIC7211-MODE, AC#4 CP1A O2 Flow Ctrl Mode,  
PPO:AC4_1A:WIC7211-OP, AC#4 CP1A O2 Flow Ctrl Output, %
PPO:AC4_1A:WIC7211-PV, AC#4 CP1A O2 Flow Ctrl Input, t/h
PPO:AC4_1A:WIC7211-SP, AC#4 CP1A O2 Flow Ctrl SP, t/h
PPO:AC4_1B:FIC7202-MODE, AC#4 CP1B O2 Qnch Wtr Ctrl Mode,  
PPO:AC4_1B:FIC7202-OP, AC#4 CP1B O2 Qnch Wtr Ctrl Output, %
PPO:AC4_1B:FIC7202-PV, AC#4 CP1B O2 Qnch Wtr Ctrl Input, m3/h
PPO:AC4_1B:FIC7202-SP, AC#4 CP1B O2 Qnch Wtr Ctrl SP, m3/h
PPO:AC4_1B:WIC7212-MODE, AC#4 CP1B O2 Flow Ctrl Mode,  
PPO:AC4_1B:WIC7212-OP, AC#4 CP1B O2 Flow Ctrl Output, %
PPO:AC4_1B:WIC7212-PV, AC#4 CP1B O2 Flow Ctrl Input, t/h
PPO:AC4_1B:WIC7212-SP, AC#4 CP1B O2 Flow Ctrl SP, t/h
PPO:AC4_1C:FIC7203-MODE, AC#4 CP1C O2 Qnch Wtr Ctrl Mode,  
PPO:AC4_1C:FIC7203-OP, AC#4 CP1C O2 Qnch Wtr Ctrl Output, %
PPO:AC4_1C:FIC7203-PV, AC#4 CP1C O2 Qnch Wtr Ctrl Input, m3/h
PPO:AC4_1C:FIC7203-SP, AC#4 CP1C O2 Qnch Wtr Ctrl SP, m3/h
PPO:AC4_1C:WIC7213-MODE, AC#4 CP1C O2 Flow Ctrl Mode,  
PPO:AC4_1C:WIC7213-OP, AC#4 CP1C O2 Flow Ctrl Output, %
PPO:AC4_1C:WIC7213-PV, AC#4 CP1C O2 Flow Ctrl Input, t/h
PPO:AC4_1C:WIC7213-SP, AC#4 CP1C O2 Flow Ctrl SP, t/h
PPO:AC4_2:FIC7204-MODE, AC#4 CP2 O2 Qnch Wtr Ctrl Mode,  
PPO:AC4_2:FIC7204-OP, AC#4 CP2 O2 Qnch Wtr Ctrl Output, %
PPO:AC4_2:FIC7204-PV, AC#4 CP2 O2 Qnch Wtr Ctrl Input, m3/h
PPO:AC4_2:FIC7204-SP, AC#4 CP2 O2 Qnch Wtr Ctrl SP, m3/h
PPO:AC4_2:WIC7214-MODE, AC#4 CP2 O2 Flow Ctrl Mode,  
PPO:AC4_2:WIC7214-OP, AC#4 CP2 O2 Flow Ctrl Output, %
PPO:AC4_2:WIC7214-PV, AC#4 CP2 O2 Flow Ctrl Input, t/h
PPO:AC4_2:WIC7214-SP, AC#4 CP2 O2 Flow Ctrl SP, t/h
PPO:AC4_3:FIC7205-MODE, AC#4 CP3 O2 Qnch Wtr Ctrl Mode,  
PPO:AC4_3:FIC7205-OP, AC#4 CP3 O2 Qnch Wtr Ctrl Output, %
PPO:AC4_3:FIC7205-PV, AC#4 CP3 O2 Qnch Wtr Ctrl Input, m3/h
PPO:AC4_3:FIC7205-SP, AC#4 CP3 O2 Qnch Wtr Ctrl SP, m3/h
PPO:AC4_3:WIC7215-MODE, AC#4 CP3 O2 Flow Ctrl Mode,  
PPO:AC4_3:WIC7215-OP, AC#4 CP3 O2 Flow Ctrl Output, %
PPO:AC4_3:WIC7215-PV, AC#4 CP3 O2 Flow Ctrl Input, t/h
PPO:AC4_3:WIC7215-SP, AC#4 CP3 O2 Flow Ctrl SP, t/h
PPO:AC4_4:FIC7206-MODE, AC#4 CP4 O2 Qnch Wtr Ctrl Mode, m3/h
PPO:AC4_4:FIC7206-OP, AC#4 CP4 O2 Qnch Wtr Ctrl Output, %
PPO:AC4_4:FIC7206-PV, AC#4 CP4 O2 Qnch Wtr Ctrl Input,  
PPO:AC4_4:FIC7206-SP, AC#4 CP4 O2 Qnch Wtr Ctrl SP, m3/h
PPO:AC4_4:WIC7216-MODE, AC#4 CP4 O2 Flow Ctrl Mode,  
PPO:AC4_4:WIC7216-OP, AC#4 CP4 O2 Flow Ctrl Output, %
PPO:AC4_4:WIC7216-PV, AC#4 CP4 O2 Flow Ctrl Input, t/h
PPO:AC4_4:WIC7216-SP, AC#4 CP4 O2 Flow Ctrl SP, t/h
PPO:AC4_5:FIC7207-MODE, AC#4 CP5 O2 Qnch Wtr Ctrl Mode, m3/h
PPO:AC4_5:FIC7207-OP, AC#4 CP5 O2 Qnch Wtr Ctrl Output, %
PPO:AC4_5:FIC7207-PV, AC#4 CP5 O2 Qnch Wtr Ctrl Input,  
PPO:AC4_5:FIC7207-SP, AC#4 CP5 O2 Qnch Wtr Ctrl SP, m3/h
PPO:AC4_5:WIC7217-MODE, AC#4 CP5 O2 Flow Ctrl Mode,  
PPO:AC4_5:WIC7217-OP, AC#4 CP5 O2 Flow Ctrl Output, %
PPO:AC4_5:WIC7217-PV, AC#4 CP5 O2 Flow Ctrl Input, t/h
PPO:AC4_5:WIC7217-SP, AC#4 CP5 O2 Flow Ctrl SP, t/h
PPO:AC4_6:FIC7208-MODE, AC#4 CP6 O2 Qnch Wtr Ctrl Mode, m3/h
PPO:AC4_6:FIC7208-OP, AC#4 CP6 O2 Qnch Wtr Ctrl Output, %
PPO:AC4_6:FIC7208-PV, AC#4 CP6 O2 Qnch Wtr Ctrl Input,  
PPO:AC4_6:FIC7208-SP, AC#4 CP6 O2 Qnch Wtr Ctrl SP, m3/h
PPO:AC4_6:WIC7218-MODE, AC#4 CP6 O2 Flow Ctrl Mode,  
PPO:AC4_6:WIC7218-OP, AC#4 CP6 O2 Flow Ctrl Output, %
PPO:AC4_6:WIC7218-PV, AC#4 CP6 O2 Flow Ctrl Input, t/h
PPO:AC4_6:WIC7218-SP, AC#4 CP6 O2 Flow Ctrl SP, t/h
PPO:AC2004:WIC7068-MODE, AC#4 O2 Mass Flow Ctrl Mode,  
PPO:AC2004:WIC7068-OP, AC#4 O2 Mass Flow Ctrl Output, %
PPO:AC2004:WIC7068-PV, AC#4 O2 Mass Flow Ctrl Input, t/h
PPO:AC2004:WIC7068-SP, AC#4 O2 Mass Flow Ctrl SP, t/h
PPO:AC2004:PAH7065E, O2 OVERPRESSURE, %
PPO:AC2004:PI7065E, O2 OVERPRESSURE, kPag
PPO:AC2004-PI7068, OXYGEN HEADER PRESSURE, kPag
PPO:AC4_1A:WV7211-OP, AC4 COMP 1A O2 VLV OUTPUT, %
PPO:AC4_1B:WV7212-OP, AC4 COMP 1B O2 VLV OUTPUT, %
PPO:AC4_1C:WV7213-OP, AC4 COMP 1C O2 VLV OUTPUT, %
PPO:AC4_2:WV7214-OP, AC4 COMP 2 O2 VLV OUTPUT, %
PPO:AC4_3:WV7215-OP, AC4 COMP 3 O2 VLV OUTPUT, %
PPO:AC4_4:WV7216-OP, AC4 COMP 4 O2 VLV OUTPUT, %
PPO:AC4_5:WV7217-OP, AC4 COMP 5 O2 VLV OUTPUT, %
PPO:AC4_6:WV7218-OP, AC4 COMP 6 O2 VLV OUTPUT, %
PPO:AC2004:PIT7068, AC#4 OXYGEN, kPag
PPO:AC2004:TT7068, AC#4 OXYGEN, DegC
PPO:AC2004:ORP_MANUAL, AC2004 ORP MANUAL ENTRY, mV
PPO:AC2004_%S2_IN_ACF, AC#4 %S2 in ACF, %
PPO:AC2004_O2_S2_THEOR, AC#4 O2:S2 Theoretical Ratio, %
PPO:AC2004-FI7068, AC#4 O2 Header Flow, Am3/h
PPO:L-AC4 F_S2_2HR, AC#4 Feed S2 2Hrly, %
PPO:L-AC4 FD_As_12HR, AC#4 Feed As 12Hrly, As (ppm)
PPO:L-AC4 FD_As_12HR_SQL, AC#4 Feed As 12Hrly, As (ppm)
PPO:L-AC4 FD_AU_12HR, AC#4 Feed Au 12Hrly, Au (ppm)
PPO:L-AC4 FD_AU_12HR_SQL, AC#4 Feed Au 12Hrly, Au (ppm)
PPO:L-AC4 FD_CACO3_12HR, AC#4 Feed CaCO3 12Hrly, %
PPO:L-AC4 FD_CACO3_12HR_SQL, AC#4 Feed CaCO3 12Hrly, %
PPO:L-AC4 FD_CACO3_2HR, AC#4 Feed CaCO4 O3 2Hrly, %
PPO:L-AC4 FD_CACO3_2HR_SQL, AC#4 Feed CaCO4 O3 2Hrly, %
PPO:L-AC4 FD_CL_12HR, AC#4 Feed Cl 12Hrly, Cl (%)
PPO:L-AC4 FD_CL_12HR_SQL, AC#4 Feed Cl 12Hrly, Cl (%)
PPO:L-AC4 FD_FE_12HR, AC#4 Feed Fe 12Hrly, Fe (%)
PPO:L-AC4 FD_FE_12HR_SQL, AC#4 Feed Fe 12Hrly, Fe (%)
PPO:L-AC4 FD_PH_12HR, AC#4 Feed Ph 12Hrly Dup,  
PPO:L-AC4 FD_PH_12HR_SQL, AC#4 Feed Ph 12Hrly Dup,  
PPO:L-AC4 FD_PH_2HR, AC#4 Feed Ph 2Hrly,  
PPO:L-AC4 FD_PH_2HR_SQL, AC#4 Feed Ph 2Hrly,  
PPO:L-AC4 FD_R_AU_12HR, AC#4 Feed Au 12Hrly Dup, Au (ppm)
PPO:L-AC4 FD_R_AU_12HR_SQL, AC#4 Feed Au 12Hrly Dup, Au (ppm)
PPO:L-AC4 FD_R_S2_12HR, AC#4 Feed S2 12Hrly Dup, %
PPO:L-AC4 FD_R_S2_12HR_SQL, AC#4 Feed S2 12Hrly Dup, %
PPO:L-AC4 FD_R2_AU_12HR, AC#4 Feed Au 12Hrly Dup, Au (ppm)
PPO:L-AC4 FD_R2_S2_12HR, AC#4 Feed S2 12Hrly Dup, %
PPO:L-AC4 FD_R3_AU_12HR, AC#4 Feed Au 12Hrly, Au (ppm)
PPO:L-AC4 FD_R3_S2_12HR, AC#4 Feed S2 12Hrly, %
PPO:L-AC4 FD_S2_12HR, AC#4 Feed S2 12Hrly, %
PPO:L-AC4 FD_S2_12HR_SQL, AC#4 Feed S2 12Hrly, %
PPO:L-AC4 FD_S2_2HR, AC#4 Feed S2 2Hrly, %
PPO:L-AC4 FD_S2_2HR_SQL, AC#4 Feed S2 2Hrly, %
PPO:L-AC4 FD_SOLIDS_12HR, AC#4 Feed %Sol 12Hrly Dup, %
PPO:L-AC4 FD_SOLIDS_12HR_SQL, AC#4 Feed %Sol 12Hrly Dup, %
PPO:L-AC4_S2_2HR, AC#4 Disch S2 2Hrly, %
PPO:L-AC4_S2_2HR_SQL, AC#4 Disch S2 2Hrly, %
PPO:L-AC4FD_RS_2HR, AC4 Feed Reactive Sulphur 2hrly, %
PPO:L-AC4FD_RS_2HR_SQL, AC4 Feed Reactive Sulphur 2hrly, %
PPO:L-ACD4 FD_S2_2HR, AC#4 Feed S2 2Hrly, %
PPO:L-ACD4_As_12HR, AC#4 Disch As 12Hrly, ppm
PPO:L-ACD4_As_12HR_SQL, AC#4 Disch As 12Hrly, ppm
PPO:L-ACD4_AU_12HR, AC#4 Disch Au 12Hrly, Au (ppm)
PPO:L-ACD4_AU_12HR_SQL, AC#4 Disch Au 12Hrly, Au (ppm)
PPO:L-ACD4_CL_12HR, AC#4 Disch Cl 12Hrly, Cl (ppm)
PPO:L-ACD4_CL_12HR_SQL, AC#4 Disch Cl 12Hrly, Cl (ppm)
PPO:L-ACD4_FE2_12HR, AC#4 Disch Fe2 12Hrly, g/l
PPO:L-ACD4_FE2_12HR_SQL, AC#4 Disch Fe2 12Hrly, g/l
PPO:L-ACD4_FE3_12HR, AC#4 Disch Fe3 12Hrly, g/l
PPO:L-ACD4_FE3_12HR_SQL, AC#4 Disch Fe3 12Hrly, g/l
PPO:L-ACD4_H2SO4_12HR, AC#4 Disch H2So4 12Hrly, g/l
PPO:L-ACD4_H2SO4_12HR_SQL, AC#4 Disch H2So4 12Hrly, g/l
PPO:L-ACD4_H2SO4_3HR, AC4 disch H2SO4 3Hrly, g/l
PPO:L-ACD4_H2SO4_3HR_SQL, AC4 disch H2SO4 3Hrly, g/l
PPO:L-ACD4_ORP_12HR, AC#4 Disch ORP 12hrly, mV
PPO:L-ACD4_ORP_12HR_SQL, AC#4 Disch ORP 12hrly, mV
PPO:L-ACD4_ORP_3HR, AC#4 Disch ORP (mV), mV
PPO:L-ACD4_ORP_3HR_SQL, AC#4 Disch ORP (mV), mV
PPO:L-ACD4_PH_12HR, AC#4 Disch Ph 12Hrly,  
PPO:L-ACD4_PH_12HR_SQL, AC#4 Disch Ph 12Hrly,  
PPO:L-ACD4_R_S2_12HR, AC#4 Disch S2 12Hrly Dup, %
PPO:L-ACD4_R_S2_12HR_SQL, AC#4 Disch S2 12Hrly Dup, %
PPO:L-ACD4_R2_S2_12HR, AC#4 Disch S2 12Hrly Dup, %
PPO:L-ACD4_R3_S2_12HR, AC#4 Disch S2 12Hrly, %
PPO:L-ACD4_RS_12HR_SQL, AC#4 Disch Reactive Sulphur 2Hrly, %
PPO:L-ACD4_RS_3HR_SQL, AC#4 Disch Reactive Sulphur 12hrly, %
PPO:L-ACD4_S2_12HR, AC#4 Disch S2 12Hrly, %
PPO:L-ACD4_S2_12HR_SQL, AC#4 Disch S2 12Hrly, %
PPO:L-ACFD4_RS_12HR_SQL, AC#4 Feed Reactive Sulphur 12hrly, %
PPO:PU2034_FRQ, AC4 Feed Pump 2 Actual Speed, %
PPO:AC2004:WIC7061-MODE, AC#4 Feed Pump 1 Rate Cntrl Mode,  
PPO:AC2004:WIC7061-OP, AC#4 Feed Pump 1 Rate Cntrl Output, %
PPO:AC2004:WIC7061-PV, AC#4 Feed Pump 1 Rate Cntrl Input, t/h solids
PPO:AC2004:WIC7061-SP, AC#4 Feed Pump 1 Rate Cntrl Setpoint, t/h solids
PPO:AC2004:WIC7062-MODE, AC#4 Feed Pump 2 Rate Cntrl Mode,  
PPO:AC2004:WIC7062-OP, AC#4 Feed Pump 2 Rate Cntrl Output, %
PPO:AC2004:WIC7062-PV, AC#4 Feed Pump 2 Rate Cntrl Input, t/h solids
PPO:AC2004:WIC7062-SP, AC#4 Feed Pump 2 Rate Cntrl Setpoint, t/h solids
PPO:PU2033:PU2033_S1, AC#4 Geho Pump Strokes Per Minute, spm
PPO:PU2033_S1, AC#4 Geho Pump Actual Speed, %
PPO:PU2033-AMPS, AC#4 Feed Pump 1 Motor Curr, Amps
PPO:PU2034:PU2034_S1, AC#4 Geho Pump Strokes Per Minute, spm
PPO:PU2741:PIC7182-MODE, AC#4 Feed Pump Suction Press Ctrl Mode,  
PPO:PU2741:PIC7182-OP, AC#4 Feed Pump Suction Press Ctrl Output, %
PPO:PU2741:PIC7182-PV, AC#4 Feed Pump Suction Press Ctrl Input, kPa
PPO:PU2741:PIC7182-SP, AC#4 Feed Pump Suction Press Ctrl SP, kPa
PPO:TK2012:Q_TOTAL_FLOW-RO1, AC#4 Total Qnch Flow, m3/h
PPO:AC2004:PIT7061, PU2033 AC#4 FEED PUMP No.1 DISCHARGE, kPag
PPO:AC2004:PIT7062, PU2034 AC#4 FEED PUMP No.2 DISCHARGE, kPag
PPO:AC4_STRAINRS:PIT7180A, FS2201 AC#4 FEED STRAINER, kPag
PPO:AC4_STRAINRS:PIT7181A, FS2202 AC#4 FEED STRAINER, kPag
PPO:PU2033:HV7197, PU2033 AC#4 FEED PUMP No.1 SUCTION,  
PPO:PU2033:PIT7193, PU2033 AC#4 FEED PUMP No.1 SUCTION, kPag
PPO:PU2034:HV7196, PU2034 AC#4 FEED PUMP No.2 SUCTION,  
PPO:PU2034:PIT7192, PU2034 AC#4 FEED PUMP No.2 SUCTION, kPag
PPO:PU2741:TT7180A, FS2201 AC#4 FEED STRAINER, DegC
PPO:PU2741:TT7181A, FS2202 AC#4 FEED STRAINER, DegC
PPO:2033:FI7061, PU2033 Geho Flow, m3/h
PPO:2034:FI7062, PU2034 Geho Flow, m3/h
PPO:PU2033:DI7061, PU2033 Geho Discharge Density, kg/m3
PPO:PU2033:FI7061, PU2033 Geho Flow, m3/h
PPO:PU2033:FI7061_TOTAL, PU2033 Geho Flow Totaliser, m3
PPO:PU2033:WI7061, PU2033 Geho Mass Flow, t/h
PPO:PU2034:DI7062, PU2034 Geho Discharge Density, kg/m3
PPO:PU2034:FI7062, PU2034 Geho Flow, m3/h
PPO:PU2034:FI7062_TOTAL, PU2034 Geho Flow Totaliser, m3
PPO:PU2034:WI7062, PU2034 Geho Mass Flow, t/h
PPO:PU742:PI875B, PU741 Strainer Inlet Press., kPag
PPO:PU742:PI877B, PU742 Strainer Inlet Press., kPag
PPO:AC4_STRAINRS:PIT7171, Autoclave FEED BOOSTER PUMP No.2 DISCHARGE, kPag
PPO:PU2030:SX7004-DMD, Pump1 Motor Drive Motor Demand Speed, %
PPO:PU2031:SX7005-DMD, Pump2 Motor Drive Motor Demand Speed, %
PPO:PU2033:PU2033_EFFOUT, PU2033 Pump EFF, %
PPO:PU2033_TFR, PU2033 Theoretical Flow, m3/h
PPO:PU2033B-AMPS, PU2033 HYD FLUID P MTR CURRENT, Amps
PPO:PU2034:PU2034_EFFOUT, PU2034 Pump EFF, %
PPO:PU2034_TFR, PU2034 Theoretical Flow, m3/h
PPO:PU2034B-AMPS, PU2034 HYD FLUID P MTR CURRENT, Amps
PPO:XPU_2030:XPU2030_FRQ-%, Pump1 Motor Drive Actual Speed, %
PPO:XPU_2030:XPU2030_MC-AMPS, Pump1 Motor Drive Current, Amps
PPO:XPU_2031:XPU2031_FRQ-%, Pump2 Motor Drive Actual Speed, %
PPO:XPU_2031:XPU2031_MC-AMPS, Pump2 Motor Drive Current, Amps
PPO:AC2004-PI7061, PU2033 DISCHARGE PRESSURE, kPag
PPO:AC2004-PI7062, PU2034 DISCHARGE PRESSURE, kPag
PPO:PU2033:DI7061B, AC#4 PU2033 Geho Discharge Density, %
PPO:PU2033:UI7061, AC#4 Fd_Pmp1 Vol. Flow Eff., %
PPO:PU2034:DI7062B, AC#4 PU2034 Geho Discharge Density, %
PPO:PU2034:UI7062, AC#4 Fd_Pmp1 Vol. Flow Eff., %
PPO:PU2034:WI706X, AC#4 Geho Total Mass Flow, t/h
PPO:PU2034-AMPS, AC#4 Feed Pmp 2 Motor Curr, Amps
PPO:PU2123:DIT7504-DENSITY, Train 2 Feed Density, kg/m3
PPO:PU2124:DIT7503-DENSITY, Train 1 Feed Density, kg/m3
PPO:PU2741:HV7170, AC#4 FEED BOOSTER PUMP No.3 SUCTION,  
PPO:PU2741:HV7173, AC#4 FEED BOOSTER PUMP No.3 DISCHARGE VALVE,  
PPO:PU2741_FRQ, AC4 Feed Booster Pump Actual Speed, %
PPO:PU2741-TI7180A, AC#4 Feed Post Strainer 1 Temp, DegC
PPO:PU2741-TI7181A, AC#4 Feed Post Strainer 2 Temp, DegC
PPO:PPO:PU2033-PI7193, AC#4 33 Suction Press, kPag
PPO:PPO:PU2034-PI7192, AC#4 34 Suction Press, kPag
PPO:AC2004:HV7122A, PV2004 Autoclave DISCHARGE FLASH VESSELS,  
PPO:PV2004:HV7122B, PV2004 Autoclave DISCHARGE FLASH VESSELS,  
PPO:PV2004:LIT7122, PV2004 Autoclave DISCHARGE FLASH VESSELS, %
PPO:PV2004:PIT7122, PV2004 Autoclave DISCHARGE FLASH VESSELS, kPag
PPO:PV2004:TT7121, PV2004 Autoclave DISCHARGE FLASH VESSEL, DegC
PPO:PV2004:LV7121, PV2004 TR1 Letdown Valve Position Feedback, %
PPO:PV2004:LV7121-SP, PV2004 TR1 Letdown Valve Position Set Point, %
PPO:PV2004-LI7122, PV2004 SLURRY LVL, %
PPO:PV2004-PI7122, PV2004 OPERATING PRES, kPag
PPO:AC2004:HV7132A, PV2005 Autoclave DISCHARGE FLASH VESSELS,  
PPO:PV2005:HV7132B, PV2005 Autoclave DISCHARGE FLASH VESSELS,  
PPO:PV2005:LIT7132, PV2005 Autoclave DISCHARGE FLASH VESSELS, %
PPO:PV2005:PIT7132, PV2005 Autoclave DISCHARGE FLASH VESSELS, kPag
PPO:PV2005:TT7131, PV2005 Autoclave DISCHARGE FLASH VESSEL, DegC
PPO:PV2005:LV7131, PV2005 TR2 Letdown Valve Position Feedback, %
PPO:PV2005:LV7131-SP, PV2005 TR2 Letdown Valve Position Set Point, %
PPO:PV2005-LI7132, PV2005 SLURRY LVL, %
PPO:PV2005-PI7132, PV2005 OPERATING PRES, kPag
PPO:PV2016:FIT7120, PV2016 VENT GAS INLET, Am3/h
PPO:PV2016-FI7120, PV2016 VENT GAS INLET FLOW, Am3/h
PPO:PV2028-PI6721, PV2028 PRES, kPag
PPO:PCMAX_AVG, PreOx Working Volume, Note: Calculated for online Pre oxidation tanks
PPO:PREOX_AV_LVL:PREOX_AVG-PNT, AVERAGE PREOX TANK LEVEL, Note: Calculated for online Pre oxidation tanks
PPO:PREOX_TNK_AVE, PREOX TNK AVE, Note: Calculated for online Pre oxidation tanks
PPO:PV_AVG, PreOx Average Level, Note: Calculated for online Pre oxidation tanks
PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, 
PPO:L-TK004_RS_3HR, TK004 Reactive Sulphur 3hrly, 
PPO:L-TK004_RS_3HR_SQL, TK004 Reactive Sulphur 3hrly, 
PPO:L-TK004_S2_Grab, TK004 Sulphur Assay, 
PPO:PU030-SPD, PREOX Pmp1 Speed, 
PPO:PU030-STAT, PREOX Pmp1, 
PPO:AG004-STAT, PREOX Tk4 Agit., 
PPO:AG004-AMPS, PREOX Tk4 Agit. Amps, 
PPO:TK004:LI042, PREOX TK04 Level, 
PPO:L-TK005_RS_12HR_SQL, TK005 Reactive Sulphur 12hrly, 
PPO:L-TK005_RS_3HR, TK005 Reactive Sulphur 3hrly, 
PPO:L-TK005_RS_3HR_SQL, TK005 Reactive Sulphur 3hrly, 
PPO:L-TK005_S2_Grab, TK005 Sulphur Assay, 
PPO:PU031-SPD, PREOX Pmp2 Speed, 
PPO:PU031-STAT, PREOX Pmp2, 
PPO:PU030-AMPS, PREOX Pmp1 Amps, 
PPO:AG005-STAT, PREOX Tk5 Agit., 
PPO:AG005-AMPS, PREOX Tk5 Agit. Amps, 
PPO:TK005:LI043, PREOX TK05 Level, 
PPO:L-TK006_RS_12HR_SQL, TK006 Reactive Sulphur 12hrly, 
PPO:L-TK006_RS_3HR, TK006 Reactive Sulphur 3hrly, 
PPO:L-TK006_RS_3HR_SQL, TK006 Reactive Sulphur 3hrly, 
PPO:L-TK006_S2_Grab, TK006 Sulphur Assay, 
PPO:PU032-SPD, PREOX Pmp3 Speed, 
PPO:PU032-STAT, PREOX Pmp3, 
PPO:PU032-AMPS, PREOX Pmp3 Amps, 
PPO:AG006-STAT, PREOX Tk6 Agit., 
PPO:AG006-AMPS, PREOX Tk6 Agit. Amps, 
PPO:TK006:LI044, PREOX TK06 Level, 
PPO:L-TK1004_RS_12HR_SQL, TK1004 Reactive Sulphur 12hrly, 
PPO:L-TK1004_RS_3HR, TK1004 Reactive Sulphur 3hrly, 
PPO:L-TK1004_RS_3HR_SQL, TK1004 Reactive Sulphur 3hrly, 
PPO:XPU_1030:XPU 1030_MC-AMPS, TK1004 Pre-Ox Pump, 
PPO:XPU_1030:XPU1030_MC-AMPS, TK1004 Pre-Ox Pump, 
PPO:XPU_1031:XPU 1031_MC-AMPS, TK1004 Pre-Ox Pump, 
PPO:XPU_1031:XPU1031_MC-AMPS, TK1004 Pre-Ox Pump, 
PPO:PU1030_FRQ, Pre-Ox TK1004 Pump1 Actual Speed, 
PPO:PU1031_FRQ, Pre-Ox TK1004 Pump2 Actual Speed, 
